,0,1
239447,-1,feels like being trapped and i hate itttt.  http://plurk.com/p/xf5ac
1110098,1,@craftymf maybe those drivers / had killed loved ones with their cars / like backed over them 
1032531,1,@flistch I know!!! I told your mom to say bye... but it's not the same. We'll be in touch here 
693910,-1,@auroratampon I wanna cuddle you up in a bucket of stars and watch a&amp;e. Maybe boxed sangria. I need you.   
1479669,1,"@adamthehawk oooh, I'll admit I like the sound of that "
1395184,1,"is unable to walk at the moment due to incessant lunges during circuit training last night. work today, mary kay party later. "
1301938,1,@donniewahlberg I will be expecting some facetime in vegas and phoenix 
318069,-1,@britesprite *gag - vomits into throat a little* that is an image I could have lived without... 
141624,-1,@mommyinstincts because you are probably always folding laundry! 
1449883,1,going offline now. will be back at night 
368501,-1,hoping the best for my grandfather in the hospital 
1590016,1,@AdiWriter hahaha  yep  wish me luck ;)
1253019,1,"Send a twit,  @mytesi"
536556,-1,is waiting for pizza...!!!! Hungry! no food in the house and HATES storms! 
855301,1,@caldjr I will be married for 12 years when I am that old 
281046,-1,SOB! I hate going to car places. I always feel like people are laughing at me. 
659953,-1,@robertbland  ooooh what a pity.. I am a bit behind with all the news.. staying with friends who prefer to watch other programs .. 
1265822,1,Watering mx backyard trees. Enjoying some natarurous stuff!  Chilito
590078,-1,Wifey making me dins. Love love love her! My throat hurts like a bad word though 
461013,-1,Not happy with the way India played... an insipid display of cricket... This side looked like they r on the ground to get beaten..!!!  :'(
52454,-1,"@jimmeemajor aw  haha i wont drop this one then. if you want, we'll use the same line with andy and dblaise?"
474511,-1,wondering where the weekend went? 
1143511,1,@bellab4510 ok jes checkin ... i love u sissy 
912859,1,@henrytweet good luck with the pump! 
692914,-1,"Oh, the midwestern humidity "
492085,-1,I hope @DonnieWahlberg doesn't think I am a poor soldier for loving #NKOTB and #BSB 
918566,1,@MariahCarey I'd say it a million plus plus plus times !!! I love you and appreciate you I'd choose your happieness over album any day 
1506883,1,"@Michael_Cera Yay, we're always glad when your on   &lt;3 &lt;3"
907205,1,@ben_stiller Morning!!!  Won't mind to meet you in real life  Hope you'll like me too 
1327790,1,@victoriaquinnxo I used to love that song! 
63806,-1,The sun has gone in 
1502888,1,@makii08 enjoy your holiday makii!!! have a great day! 
895637,1,@wishdreamhope Maybe take it one person @ a time? Once we get #sambradley up we put #bobbylong on the charts? Just a thought. 
376315,-1,DODGERS WIN! Wtf why didn't i go tonight! 
875901,1,@llevy thought u might say that 
408994,-1,@ChristianCate. How's Dukey? I can't believe he leaves Monday!! 
1364284,1,I love how I feel after an awesome workout! Now to make something for dinner &amp; settle in for a relaxing night 
1199094,1,Great interaction/ convo today! Awesome. Success. Happy dinner 
536535,-1,just rode 14 miles on a bike with two old dudes... they killed me 
844139,1,"@LeipeLeon  yay, thanks! We're gonna rock!"
1124296,1,@PANIC_its_logan mhmmm 
720036,-1,Still no phone   May have to suck it up and buy a new one...
