,0,1
0,-1,"['wasnt', 'ask', 'full', 'refund', 'delaying', 'hour', 'give', 'reason', 'enough', 'give', 'partial', 'credit']"
1,-1,"['youre', 'send', 'gate', 'agent', 'talk', 'u', 'joke', 'airline', 'thanks', 'ruin', 'vacation', 'neverflyaaagain']"
2,-1,"['think', 'get', 'fast', 'response', 'twitter', 'callwhatis']"
3,-1,"['listen', 'learn', 'amp', 'remove', 'pod', 'requirement', 'insulting']"
4,-1,"['actual', 'bad', 'zero', 'respect', 'passenger', 'officially', 'do', 'fly']"
5,-1,"['yeah', 'revoke', 'tomorrow', 'morning', 'extremely', 'disappointed', 'miss', 'wedding']"
6,-1,"['feel', 'free', 'travel', 'voucher', 'assume', 'indignation']"
7,1,"['thanks', 'thanks', 'hope', 'dont', 'look', 'like', 'complain', 'write', 'good', 'experience', 'past', 'make', 'terminal']"
8,-1,"['look', 'six', 'month', 'ago', 'cheap', 'customer', 'service', 'useless', 'whatis']"
9,-1,"['go', 'write', 'post', 'experience', 'customer', 'service', 'rank', 'jetblue']"
10,-1,"['clueless', 'wait', 'hear', 'week', 'refund', 'cancel', 'lighted', 'flight', 'amp', 'hold', 'min']"
11,-1,"['americana', 'can', 'not', 'even', 'get', 'phone', 'reservation', 'team', 'system', 'automatically', 'disconnect', 'u']"
12,-1,"['pretty', 'frustrate', 'can', 'not', 'even', 'stay', 'hold', 'get', 'help', 'flight', 'cancel', 'cancel', 'filtration']"
13,-1,"['yes', 'de', 'baggage', 'claim', 'sad', 'baggage', 'treat', 'u', 'please', 'need', 'baggage']"
14,-1,"['crazy', 'hold', 'time', 'today', 'hour', 'help']"
15,1,['thank']
16,-1,"['live', 'person', 'speak', 'day', 'divide', 'mile', 'wrongfully', 'take', 'mile', 'account']"
17,-1,"['really', 'get', 'nerve', 'nothappy']"
18,-1,"['work', 'lisa', 'rd', 'shed', 'work', 'hard', 'u', 'still', 'er', 'disappointing', 'ear']"
19,-1,"['last', 'seg', 'flight', 'denver', 'den', 'haydensteamboat', 'hen', 'get', 'cancel', 'light', 'need', 'help', 'find', 'luggage']"
20,-1,"['continue', 'airline', 'choice', 'frustrate', 'travel', 'day', 'experience', 'delay', 'gate', 'change', 'change']"
21,-1,"['hold', 'can', 'not', 'get', 'airport', 'flight', 'icy', 'country', 'country', 'backroads', 'help', 'plus', 'dna']"
