,0,1
0,0,"['get', 'service', 'desk', 'id']"
1,0,"['whatis', 'status', 'flight', 'tuesday', 'dallas']"
2,-1,"['thank', 'put', 'flight', 'leave', 'late', 'flight', 'original', 'flight', 'book']"
3,-1,"['follow', 'order', 'come']"
4,0,"['start', 'daily', 'er', 'flight', 'newark', 'milan', 'male', 'replace', 'er', 'pr', 'instead', 'ar', 'geek']"
5,-1,"['want', 'fly', 'storm', 'thats', 'right', 'give', 'u', 'choice', 'kid', 'dont', 'want', 'chance', 'nixchangefees']"
6,-1,"['ohio', 'already', 'turn', 'apparently', 'lose', 'bag', 'honeymoon', 'doesnt', 'require', 'accountability']"
7,-1,"['dont', 'ask', 'patient', 'without', 'offer', 'something', 'return']"
8,-1,"['back', 'thanks', 'staff', 'wouldnt', 'passenger', 'strand', 'laugh', 'u']"
9,-1,"['mechanical', 'issue', 'cause', 'delay', 'connect', 'plane', 'rd', 'need', 'wait', 'min', 'refuse', 'leave', 'early', 'instead']"
10,0,"['know', 'fly', 'virgin', 'fight', 'mayweatherpacquiao']"
11,-1,"['try', 'ee', 'book', 'multi', 'city', 'award', 'trip', 'can', 'not', 'book', 'online', 'tell', 'call', 'back', 'time']"
12,-1,"['guy', 'cancel', 'lighted', 'flight', 'today', 'book', 'tomorrow', 'unfortunately', 'revoke', 'thanks']"
13,1,"['thanks', 'email', 'long', 'expect', 'response']"
14,-1,"['please', 'get', 'plane']"
15,-1,"['flight', 'get', 'delayed', 'hour', 'due', 'mechanical', 'issuecould', 'use', 'free', 'drink', 'make', 'inconvenience']"
16,-1,"['test', 'flight', 'denver', 'try', 'cancel', 'lighted', 'hold', 'hour', 'try', 'get', 'help', 'flight']"
17,-1,"['possible', 'call', 'system', 'refuse', 'caller', 'twelve', 'hour', 'service', 'option', 'leave']"
18,-1,"['thanks', 'call', 'cancel', 'lighted', 'flight', 'not', 'not', 'flight', 'book', 'problem', 'tue', 'good', 'weather', 'cause', 'leave', 'early']"
19,0,"['flight', 'nab', 'blu', 'arrive', 'follow', 'flight', 'westchester', 'county', 'airport']"
20,1,"['lady', 'gaga', 'gaga', 'amazing', 'amazing']"
21,0,"['jetblue', 'sorry', 'sorry', 'please', 'ask', 'flight', 'open', 'seat', 'move']"
22,1,"['superb', 'choice', 'wa', 'fan', 'even', 'take', 'stress', 'weatherrelate', 'flight', 'glitch', 'glitch', 'cluster']"
23,1,['thank']
24,-1,"['appreciate', 'actually', 'monitor', 'twitter', 'please', 'pas', 'along', 'feedback', 'try', 'call', 'time', 'day']"
25,-1,"['unfriendly', 'unhelpful', 'agent', 'unannounced', 'gate', 'change', 'delay', 'flight', 'find', 'word', 'mouth']"
26,-1,"['airline', 'amp', 'time', 'ever', 'fly', 'airline', 'airline', 'disgrace', 'shouldhave', 'listen', 'tweet', 'tweet', 'horrible']"
27,0,"['sent', 'additional', 'info']"
28,1,"['hnk', 'leave', 'ipad', 'plane', 'fill', 'lose', 'found', 'form', 'forall', 'find', 'ship', 'back', 'thank', 'fly']"
29,0,"['window', 'exit', 'give', 'away']"
30,-1,"['maintenance', 'issue', 'stick', 'geneva', 'meal', 'voucher', 'willow', 'even', 'cover', 'late', 'flight', 'spaghetti', 'really']"
31,0,"['change', 'd', 'city', 'award', 'reservation', 'party', 'fee', 'pax', 'first', 'rest']"
32,0,"['baggage', 'allowance', 'flight', 'glasgow', 'thanks']"
33,0,"['conf', 'number', 'fmjtyl', 'delay', 'chance', 'get', 'early', 'flight', 'pox']"
34,0,"['brush', 'virginamerica', 'turn', 'vxsafetydance']"
35,-1,"['miss', 'flight', 'rude', 'car', 'flight', 'till', 'tuesday', 'answer', 'twitter', 'help', 'youre', 'hope']"
36,-1,"['oscar', 'direct', 'flight', 'look', 'forward', 'devastate']"
37,-1,"['shouldhave', 'one', 'flight', 'instead', 'lose', 'bag', 'add', 'insult', 'injury']"
38,-1,"['worst', 'customer', 'service', 'denver']"
39,-1,"['flight', 'keep', 'get', 'delay', 'late', 'flight', 'late', 'flight']"
40,-1,"['flight', 'need', 'first', 'flight', 'ia', 'pa', 'extremely', 'irritated', 'airport']"
41,-1,"['dispatch', 'keep', 'yell', 'hung']"
42,0,"['not', 'work']"
43,-1,"['anything', 'go', 'website', 'get', 'lot', 'error', 'past', 'minute']"
44,0,"['like', 'mari', 'hard', 'go', 'iraq', 'find', 'isis', 'spread', 'good', 'offer', 'resume', 'service', 'isi', 'order', 'find', 'job']"
45,0,"['possible', 'cancel', 'flight', 'reservation', 'online']"
46,0,"['knew', 'correct', 'correct']"
47,-1,"['keep', 'return', 'call', 'hang', 'answer', 'help', 'delight', 'book', 'problem', 'flight', 'flight']"
48,-1,"['sponsor', 'oscar', 'wonder', 'half', 'hour', 'delay', 'oscar']"
49,0,"['new', 'ceo', 'seek', 'right', 'balance', 'please', 'passenger', 'wall', 'daily', 'journal']"
50,-1,"['try', 'add', 'tsa', 'pre', 'check', 'number', 'reservation', 'online', 'dont', 'see', 'option', 'nosecuritylines']"
51,-1,"['help', 'reservation', 'can', 'not', 'get', 'phone']"
52,-1,"['app', 'error', 'say', 'click', 'can', 'not', 'click', 'not', 'hyperlink']"
53,1,"['thanks', 'explanation', 'seem', 'like', 'odd', 'incentive', 'structure', 'tho', 'dramatically', 'diminishes', 'value', 'cent']"
54,-1,"['thanks', 'thanks', 'make', 'sense', 'annoy', 'can', 'not', 'determine', 'good']"
55,-1,"['can', 'not', 'take', 'knoxville', 'forall', 'far', 'help']"
56,-1,"['overtime', 'come', 'back', 'boston', 'itis', 'minimum', 'min', 'wait', 'bag', 'earlier', 'almost', 'hour', 'boston', 'jetblue']"
57,0,"['find', 'flight', 'want', 'advantage', 'applicable', 'earn', 'mile', 'since', 'youre', 'merging']"
58,-1,"['question', 'give', 'food', 'voucher', 'can', 'not', 'use', 'planet', 'come']"
59,-1,"['disappointedunited', 'not', 'fee', 'small', 'child', 'amp', 'half', 'hour', 'flight', 'honolulu', 'los', 'angel', 'appal', 'esp', 'food', 'wayward']"
60,1,"['sica', 'stewart', 'lax', 'fantastic', 'tonight', 'help', 'find', 'lost', 'item', 'u', 'airport', 'much', 'thanks', 'thanks']"
61,0,"['okay', 'anything', 'use', 'contact', 'em', 'work', 'internal', 'test', 'train', 'currently', 'apple', 'pay', 'specific']"
62,-1,"['flight', 'phi', 'cut', 'terminal', 'can', 'not', 'get', 'plane', 'yet', 'need', 'get', 'ah', 'flight']"
63,0,"['many', 'currently', 'operate', 'aircraft', 'operate']"
64,0,"['lunch', 'time', 'get', 'call', 'answer']"
65,-1,"['bad', 'airline', 'cancel', 'flight', 'flight', 'dont', 'let', 'know', 'wait', 'hold', 'min', 'tell', 'enter', 'rollback', 'middle', 'night', 'night']"
66,-1,"['try', 'call', 'customer', 'service', 'since', 'hour', 'disconnect', 'speak', 'one']"
67,0,"['good', 'ideasshe', 'travel', 'today', 'airport', 'need', 'petition', 'faa', 'regard', 'silly', 'name', 'change', 'rule']"
68,-1,"['soon', 'possible', 'board', 'plane', 'time', 'still', 'start']"
69,-1,"['er', 'frustrate', 'saw', 'seat', 'avail', 'online', 'pref', 'alt', 'flight', 'unable', 'book', 'online', 'lose', 'seat', 'phone', 'hold']"
70,-1,"['min', 'wait', 'phone', 'option', 'rollback', 'finally', 'hang', 'phone', 'dying', 'customerservice']"
71,-1,"['guess', 'hang', 'amp', 'give', 'use', 'award', 'mile', 'price', 'jump', 'thanks']"
