,0,1
0,1,"['great', 'flight', 'cab', 'last', 'week', 'family', 'smoothflight', 'frequentflyer']"
1,-1,"['email', 'addressusername', 'signer', 'available', 'itis']"
2,-1,"['seat', 'assignment', 'process', 'flight', 'book', 'problem', 'mislead', 'not', 'pay', 'extra', 'select', 'seat']"
3,-1,"['thank', 'bad', 'experience', 'ever', 'airline', 'hope', 'embarrass', 'airline', 'pathetic']"
4,1,"['thanks', 'seat', 'next', 'hot', 'athlete', 'flight', 'significantly', 'well']"
5,0,"['nonprofit', 'rc', 'would', 'love', 'ticket', 'rely', 'airline', 'extraction', 'save', 'abducted', 'child', 'return', 'home', 'home']"
6,-1,"['yes', 'manage', 'lose', 'two', 'bag', 'horrendous', 'airline']"
7,-1,"['time', 'call', 'customer', 'service', 'least', 'min', 'time', 'cut', 'operator', 'can', 'not', 'call', 'call', 'back']"
8,0,"['americas', 'large', 'airline', 'passenger', 'carry', 'carry', 'wonder', 'customer', 'service', 'bible', 'anamarketers']"
9,1,"['americana', 'thanks', 'shootout', 'mandate', 'mandate', 'enjoy', 'ride', 'always', 'always', 'odor', 'american', 'airline', 'airline']"
10,-1,"['realize', 'youve', 'say', 'already', 'least', 'last', 'time', 'ask', 'need', 'help']"
11,0,"['whatis', 'easy', 'way', 'get', 'ticket', 'receipt', 'get', 'one', 'check', 'get', 'one', 'online', 'thanks', 'thanks']"
12,1,"['thanks', 'thanks']"
13,0,"['hi', 'fly', 'airline', 'australia', 'saw', 'zero', 'kangaroo', 'rectify']"
14,1,"['make', 'thanks', 'help', 'help']"
15,0,"['try', 'go', 'far', 'away', 'kingscollegelondon', 'possible', 'charity', 'today', 'would', 'help', 'u', 'jailbreak', 'arg']"
16,1,"['especially', 'like', 'upgraded', 'three', 'crew', 'member', 'first', 'class', 'instead', 'passenger', 'keepitclassy', 'customerservice']"
17,1,"['thank', 'help', 'today', 'loyal', 'airway', 'customer', 'appreciate', 'respond', 'tweet']"
18,1,"['get', 'gate', 'thanks', 'check', 'check']"
19,0,['way']
20,-1,"['get', 'home', 'need', 'bag', 'direct', 'desk', 'number', 'savannah']"
21,0,"['okay', 'fleet', 'fleet']"
22,1,"['thanks', 'reply', 'get', 'good', 'seat', 'next', 'leg', 'munich', 'would', 'nice']"
23,0,"['help', 'jetblue', 'fleet', 'fleet']"
24,-1,"['screw', 'big', 'flight', 'late', 'flight', 'make', 'flight', 'com', 'day', 'wouldnt', 'let', 'plane']"
25,1,"['thanks', 'info', 'already', 'board', 'board', 'look', 'forward', 'future', 'upgrade', 'upgrade', 'jetblue']"
26,0,"['long', 'expect', 'formal', 'response', 'take']"
27,-1,"['honest', 'question', 'way', 'ticket', 'charlotte', 'hub', 'ax', 'big', 'city', 'usa', 'almost']"
28,0,"['twitter', 'isnt', 'let']"
29,-1,"['try', 'get', 'san', 'juan', 'chicago', 'share', 'lot', 'problem', 'may', 'get', 'standby', 'flight']"
30,0,['follow']
31,1,"['steward', 'really', 'funny', 'funny', 'could', 'get', 'gent', 'next', 'use', 'headphone', 'would', 'perfect', 'flight', 'flight']"
32,1,['love']
33,1,"['work', 'hard', 'make', 'sure', 'thing', 'flow', 'smoothly', 'keep', 'positive']"
34,-1,"['must', 'traveler', 'miss', 'flight', 'late', 'flight', 'check', 'bag', 'miss', 'morning', 'appointment', 'lose', 'business', 'solar']"
35,-1,"['try', 'call', 'day', 'get', 'hung', 'every', 'time', 'guy', 'horrible', 'horrible']"
36,1,"['yes', 'thanks', 'check', 'cramp', 'get', 'amp', 'make', 'safely', 'fly', 'back', 'tomorrow']"
37,-1,"['flight', 'cancel', 'lighted', 'airport', 'book', 'new', 'one', 'get', 'two', 'voice', 'flight', 'approx', 'really', 'really']"
38,-1,"['get', 'flight', 'bos', 'charlotte', 'find', 'cancel', 'lighted', 'get', 'gate']"
39,-1,"['felt', 'get', 'gate', 'den', 'minute', 'wait', 'information']"
40,-1,"['yes', 'every', 'one', 'every', 'flight', 'like', 'need', 'valero', 'something']"
41,-1,"['great', 'job', 'today', 'ruin', 'people', 'vacation', 'thanks', 'incompetent', 'pilot', 'staff', 'miss', 'flight']"
42,0,"['follow', 'confirmation', 'number', 'need', 'confirm', 'cancelled', 'flight', 'call', 'confirm', 'monday', 'refund']"
43,-1,"['complimentary', 'hotel', 'voucher', 'night', 'happy', 'hotel', 'ever', 'ever', 'wouldnt', 'wish', 'bad', 'enemy', 'enemy']"
44,1,"['thank', 'response', 'much', 'appreciate', 'appreciate']"
45,0,"['need', 'phone', 'number', 'baggage', 'claim', 'ax', 'mom', 'leave', 'phone', 'someone', 'call', 'say', 'would', 'put']"
46,-1,"['worst', 'postpone', 'trip', 'can', 'not', 'accommodate', 'guest', 'like', 'neveragain']"
