,0,1
0,1,"['happy', 'birthday', '_happy_birthday']"
1,1,"['use', 'digital', 'antenna', 'combine', 'box', 'connect', 'pa', 'network', 'home', '_use_digital', '_digital_antenna', '_antenna_combine', '_combine_box', '_box_connect', '_connect_pa', '_pa_network', '_network_home']"
2,-1,"['phone', 'call', 'matter', 'long', 'enough', 'someone', 'care', 'far', 'away', '_phone_call', '_call_matter', '_matter_long', '_long_enough', '_enough_someone', '_someone_care', '_care_far', '_far_away']"
3,1,"['wake', 'tweet', 'tweet', '_wake_tweet', '_tweet_tweet']"
4,1,"['amaze', 'not', 'exactly', 'surprise', 'definately', 'thrill', 'much', 'well', 'feel', 'two', 'decent', 'night', 'sleep', 'sleep', 'fu', '_amaze_not', '_not_exactly', '_exactly_surprise', '_surprise_definately', '_definately_thrill', '_thrill_much', '_much_well', '_well_feel', '_feel_two', '_two_decent', '_decent_night', '_night_sleep', '_sleep_sleep', '_sleep_fu']"
5,1,"['yes', 'know', 'line', 'play', '_yes_know', '_know_line', '_line_play']"
6,-1,"['yeah', 'really', 'hear', 'sorry', 'glad', 'well', '_yeah_really', '_really_hear', '_hear_sorry', '_sorry_glad', '_glad_well']"
7,1,"['thanks', 'movie', 'review', 'review', '_thanks_movie', '_movie_review', '_review_review']"
8,-1,"['boo', 'school', 'tomorrow', 'lame', 'award', 'ceremony', 'thingyou', 'least', 'dessert', 'od', 'ut', 'ad', 'sam', '_boo_school', '_school_tomorrow', '_tomorrow_lame', '_lame_award', '_award_ceremony', '_ceremony_thingyou', '_thingyou_least', '_least_dessert', '_dessert_od', '_od_ut', '_ut_ad', '_ad_sam']"
9,-1,"['basil', 'plant', 'doesnt', 'like', 'life', '_basil_plant', '_plant_doesnt', '_doesnt_like', '_like_life']"
10,1,"['nah', 'itis', 'not', 'good', 'okay', 'thankyou', 'ear', 'good', 'good', 'ex', '_nah_itis', '_itis_not', '_not_good', '_good_okay', '_okay_thankyou', '_thankyou_ear', '_ear_good', '_good_good', '_good_ex']"
11,-1,"['drop', 'daddy', 'ax', 'home', 'soo', 'hungry', '_drop_daddy', '_daddy_ax', '_ax_home', '_home_soo', '_soo_hungry']"
12,1,"['thanks', 'thanks', '_thanks_thanks']"
13,1,"['man', 'smile', 'thing', 'go', 'wrong', 'thought', 'someone', 'blame', '_man_smile', '_smile_thing', '_thing_go', '_go_wrong', '_wrong_thought', '_thought_someone', '_someone_blame']"
14,1,"['sick', 'really', 'cheap', 'hurt', 'much', 'eat', 'real', 'food', 'plus', 'friend', 'make', 'soup', '_sick_really', '_really_cheap', '_cheap_hurt', '_hurt_much', '_much_eat', '_eat_real', '_real_food', '_food_plus', '_plus_friend', '_friend_make', '_make_soup']"
15,-1,"['dispose', 'bum', 'not', 'answer', '_dispose_bum', '_bum_not', '_not_answer']"
16,1,"['back', 'twitter', 'break', 'watch', 'jonas', 'brother', 'live', 'dream', 'marathon', '_back_twitter', '_twitter_break', '_break_watch', '_watch_jonas', '_jonas_brother', '_brother_live', '_live_dream', '_dream_marathon']"
17,1,"['eats', 'ben', 'jerry', 'ice', 'cream', '_eats_ben', '_ben_jerry', '_jerry_ice', '_ice_cream']"
18,-1,"['come', 'chile', 'band', 'everything', 'happen', 'far', 'away', 'lol', 'lose', 'good', 'live', 'music', 'music', '_come_chile', '_chile_band', '_band_everything', '_everything_happen', '_happen_far', '_far_away', '_away_lol', '_lol_lose', '_lose_good', '_good_live', '_live_music', '_music_music']"
19,-1,"['photograph', 'year', 'studio', 'year', 'half', 'today', 'first', 'time', 'ever', 'make', 'kid', 'cry', 'haha', '_photograph_year', '_year_studio', '_studio_year', '_year_half', '_half_today', '_today_first', '_first_time', '_time_ever', '_ever_make', '_make_kid', '_kid_cry', '_cry_haha']"
20,1,"['thanks', 'followfriday', 'finger', 'cross', '_thanks_followfriday', '_followfriday_finger', '_finger_cross']"
21,-1,"['codeztheyhave', 'ia', 'tho', '_codeztheyhave_ia', '_ia_tho']"
22,-1,"['oh', 'sign', 'miss', 'kitty', 'name', 'cheetah', 'lab', 'lab', 'thats', 'big', 'kitty', 'kitty', '_oh_sign', '_sign_miss', '_miss_kitty', '_kitty_name', '_name_cheetah', '_cheetah_lab', '_lab_lab', '_lab_thats', '_thats_big', '_big_kitty', '_kitty_kitty']"
23,-1,"['irn', 'need', 'proxy', 'ply', 'sar', 'ave', 'justify', 'upload', 'video', 'youtube', 'proxy', 'not', 'workout', 'workout', 'iranelection', '_irn_need', '_need_proxy', '_proxy_ply', '_ply_sar', '_sar_ave', '_ave_justify', '_justify_upload', '_upload_video', '_video_youtube', '_youtube_proxy', '_proxy_not', '_not_workout', '_workout_workout', '_workout_iranelection']"
24,-1,"['last', 'day', 'vacation', '_last_day', '_day_vacation']"
25,1,"['come', 'home', 'school', 'nothing', 'classmate', 'amp', 'triple', '_come_home', '_home_school', '_school_nothing', '_nothing_classmate', '_classmate_amp', '_amp_triple']"
26,-1,"['uz', 'piss', 'worked', 'week', 'row', 'want', 'check', 'cup', 'cut', 'uz', 'one', '_uz_piss', '_piss_worked', '_worked_week', '_week_row', '_row_want', '_want_check', '_check_cup', '_cup_cut', '_cut_uz', '_uz_one']"
27,-1,"['think', 'break', 'toe', 'not', 'kid', 'suck', 'fivemileone', 'hour', 'run', 'goal', 'tomorrow', '_think_break', '_break_toe', '_toe_not', '_not_kid', '_kid_suck', '_suck_fivemileone', '_fivemileone_hour', '_hour_run', '_run_goal', '_goal_tomorrow']"
28,1,"['definitely', 'something', 'egg', 'dummy', '_definitely_something', '_something_egg', '_egg_dummy']"
29,-1,"['stupid', 'rain', 'youre', 'spell', 'plan', 'week', 'week', '_stupid_rain', '_rain_youre', '_youre_spell', '_spell_plan', '_plan_week', '_week_week']"
30,1,"['get', 'follower', 'day', 'use', 'wwtweeterfollowcom', 'add', 'everyone', 'train', 'pay', 'vip', '_get_follower', '_follower_day', '_day_use', '_use_wwtweeterfollowcom', '_wwtweeterfollowcom_add', '_add_everyone', '_everyone_train', '_train_pay', '_pay_vip']"
31,1,"['happy', 'weekend', 'everybody', 'everybody', '_happy_weekend', '_weekend_everybody', '_everybody_everybody']"
32,1,"['happy', 'mother', 'day', '_happy_mother', '_mother_day']"
33,1,"['yo', 'girl', 'dont', 'like', 'long', 'ga', 'ga', '_yo_girl', '_girl_dont', '_dont_like', '_like_long', '_long_ga', '_ga_ga']"
34,1,"['simple', 'greeting', 'unexpected', 'people', 'actually', 'lighten', 'mood', 'doesnt', 'ever', 'happen', '_simple_greeting', '_greeting_unexpected', '_unexpected_people', '_people_actually', '_actually_lighten', '_lighten_mood', '_mood_doesnt', '_doesnt_ever', '_ever_happen']"
35,1,"['donkey', 'try', 'get', 'address', 'obviously', 'sheds', 'pa', 'day', '_donkey_try', '_try_get', '_get_address', '_address_obviously', '_obviously_sheds', '_sheds_pa', '_pa_day']"
36,1,"['gh', 'nightmare', 'instead', 'sleep', 'tonight', 'listen', 'hollywood', 'undead', 'come', 'hang', 'picture', 'wall', '_gh_nightmare', '_nightmare_instead', '_instead_sleep', '_sleep_tonight', '_tonight_listen', '_listen_hollywood', '_hollywood_undead', '_undead_come', '_come_hang', '_hang_picture', '_picture_wall']"
37,1,"['ah', 'boo', 'boo', 'wish', 'would', 'know', 'could', 'keep', 'company', 'soft', 'shell', 'crab', 'spider', 'spider', 'yum', '_ah_boo', '_boo_boo', '_boo_wish', '_wish_would', '_would_know', '_know_could', '_could_keep', '_keep_company', '_company_soft', '_soft_shell', '_shell_crab', '_crab_spider', '_spider_spider', '_spider_yum']"
38,1,"['ok', 'try', 'not', 'reply', 'sleep', 'seem', 'like', 'desperately', 'need', 'sleep', 'sleep', 'blur', 'word', '_ok_try', '_try_not', '_not_reply', '_reply_sleep', '_sleep_seem', '_seem_like', '_like_desperately', '_desperately_need', '_need_sleep', '_sleep_sleep', '_sleep_blur', '_blur_word']"
