,0,1
0,-1,"['head', 'work']"
1,-1,"['saw', 'tweet', 'tweet', 'raid', 'can', 'not', 'make', 'one', 'head', 'vega', 'screen', 'cinevegas', 'cinevegas', 'wednesday']"
2,1,"['give', 'note', 'right', 'speech']"
3,-1,"['dont', 'like', 'wind']"
4,1,"['gay', 'dude', 'next', 'well', 'runner']"
5,-1,"['note', 'yet']"
6,-1,"['www', 'miss', 'tweet', 'next', 'one']"
7,1,"['ooh', 'welcome', 'back']"
8,-1,"['think', 'con', 'law', 'fight', 'headache', 'amp', 'pay', 'bill']"
9,-1,"['really', 'sorry', 'hear', 'hope', 'thing', 'turn', 'best', 'hug']"
10,1,"['fabulous', 'get', 'search', 'loot', 'also']"
11,-1,"['go', 'remember', 'time', 'together']"
12,-1,"['ca', 'les', 'everything', 'around']"
13,-1,"['phone', 'go', 'crazy', 'crazy', 'isaboutto', 'need', 'new', 'one', 'soon']"
14,1,"['ah', 'dont', 'worry', 'fine', 'stupid', 'friend']"
15,-1,"['sign', 'child', 'could', 'care', 'less', 'talk', 'phone', 'itis', 'much', 'excitement', 'amp', 'fun', 'daddy', 'house']"
16,-1,"['make', 'want', 'start', 'get', 'early']"
17,1,['opinion']
18,1,"['thanks', 'thanks', 'think', 'need', 'maybe', 'not', 'not']"
19,-1,['bore']
20,-1,"['hear', 'chocolate', 'bear']"
21,1,"['interest', 'stuff', 'metro', 'station', 'houston', 'call', 'android', 'farewell', 'sing', 'loud', 'broken', 'west', 'snow', 'patrol', 'far']"
22,1,"['awesome', 'game', 'game', 'stone', 'age', 'also', 'quite', 'cool', 'dont', 'get', 'screw', 'bad', 'number']"
23,-1,"['lose', 'another', 'close', 'match']"
24,1,"['run', 'late', 'usual', 'usual']"
25,1,"['haha', 'iki', 'find', 'tomorrow', 'get', 'word', 'today', 'id', 'though', 'magazine', 'magazine']"
26,-1,"['really', 'need', 'stop', 'talk', 'food', 'everything', 'close', 'night', 'guess', 'stick', 'brownish']"
27,1,"['best', 'day', 'care', 'david', 'official', 'think', 'would', 'let', 'know']"
28,-1,"['yea', 'make', 'grey', 'good', 'idea', 'theory']"
29,1,"['switched', 'fanatical', 'look', 'like', 'lecture', 'jew', 'dont', 'toe', 'line', 'read', 'like', 'end']"
30,1,"['thanks', 'friends', 'friend', 'love', 'series', 'matt']"
31,1,"['photo', 'horse', 'band', 'excellent', 'banda']"
32,-1,"['foot', 'soo', 'cold', 'right']"
33,1,"['babysitting', 'time', 'low', 'king', 'can', 'not', 'wait']"
34,1,"['get', 'see', 'tonight', 'tonight']"
35,1,"['do', 'youre', 'go', 'get', 'awesome', 'drug', 'afterwards', 'afterwards', 'eat', 'ce', 'cam', 'milkshake', 'potato', 'potato']"
36,-1,"['hang', 'duck', 'leave']"
37,-1,"['step', 'may', 'sleep', 'still', 'feel', 'sick', 'thought']"
38,1,"['nail', 'polish', 'etc', 'etc', 'roll', 'eye']"
39,1,"['morning', 'morning', 'early', 'baking']"
40,-1,"['friday', 'still', 'shirt', 'shirt', 'concert', 'sunday', 'willow', 'shirt', 'wear']"
41,-1,"['weekend', 'go', 'fast', 'back', 'tomorrow']"
42,1,"['hey', 'medina', 'hi', 'whatis', 'end', 'desert']"
43,1,"['boy', 'call', 'many', 'live', 'douglas', 'street']"
44,-1,"['die', 'noe', 'call', 'din', 'answer']"
45,1,"['lol', 'lol', 'willow', 'matter', 'anymore', 'actually', 'think', 'wouldhave', 'enjoy', 'season', 'go', 'spoilerfree']"
46,-1,"['grocery', 'work', 'need', 'coffee', 'lol']"
47,-1,"['much', 'screaming', 'amp', 'put', 'evil', 'computer', 'hat', 'dog', 'outside', 'find', 'laptop', 'still', 'work', 'hinge', 'never']"
48,1,"['chill', 'fast', 'friend']"
49,-1,"['twitter', 'thats']"
50,-1,"['home', 'listen', 'scream', 'toddlerhelp']"
51,-1,"['ah', 'can', 'not', 'believe', 'david', 'first', 'first', 'iss', 'soo', 'jealous', 'jealous', 'girl', 'lol', 'never', 'mention', 'ah']"
52,-1,"['wish', 'could', 'go']"
53,-1,"['back', 'tallahassee', 'wish', 'mountain', 'tennessee']"
54,1,"['go', 'ocean', 'pine', 'babysit', 'go', 'beach']"
55,1,"['umm', 'think', 'itis', 'national', 'needlearts', 'association', 'therein', 'apparently', 'big', 'show', 'sorry', 'thats', 'get']"
56,1,"['hopefully', 'future', 'phone', 'doubt', 'itis', 'highland', 'company', 'likely', 'time', 'expensive']"
57,-1,"['dont', 'show', 'jealous']"
58,1,"['well', 'maybe', 'pick', 'highly', 'rat', 'seller', 'go', 'though', 'look', 'ebay', 'first']"
59,1,"['oh', 'josh', 'awesome', 'awesome']"
60,-1,"['okay', 'fine', 'willow', 'sorry', 'threaten']"
61,1,"['thats', 'sweet', 'lol', 'well', 'happy', 'think', 'love']"
62,1,"['great', 'board']"
63,-1,"['need', 'get', 'behave', 'subject', 'test', 'morning', 'next', 'week', 'oh', 'wallet', 'hope', 'go', 'ok']"
64,-1,"['get', 'ready', 'take', 'nap', 'red', 'shift', 'mess']"
65,1,"['go', 'cuba', 'street', 'bucket', 'fountain', 'mark', 'first', 'first']"
66,-1,"['thats', 'not', 'good', 'harder', 'get', 'answer']"
67,-1,"['sorry', 'dear']"
68,-1,"['perfect', 'day', 'go', 'beach', 'end', 'not', 'go']"
69,-1,"['ga', 'caravan', 'dunno', 'bit', 'creepy', 'dont', 'go', 'turn', 'light']"
70,-1,"['omg', 'video', 'young', 'lady', 'ned', 'shot', 'heart', 'sniper']"
71,1,['live']
72,-1,"['liken', 'galway', 'lose', 'hurling', 'demand', 'demand', 'lion', 'lose']"
73,-1,"['www', 'crap', 'take', 'fuse', 'cookie', 'dough']"
74,-1,"['anybody', 'want', 'pinball', 'puppy', 'right', 'make', 'want', 'run', 'away']"
75,1,"['great', 'site', 'site', 'guitar', 'hero', 'note', 'note', 'get', 'steam']"
76,-1,"['totally', 'didnt', 'see', 'tweet', 'last', 'night', 'bro', 'fell', 'asleep', 'already', 'get', 'rata', 'plaster', 'fix', 'yet', 'didnt']"
77,1,"['watch', 'little', 'sister', 'soccer', 'game', 'game', 'shed', 'star', 'star']"
78,-1,"['oh', 'well', 'save', 'weekend']"
79,-1,"['sad', 'leave', 'page']"
80,1,"['yahoo', 'pool', 'time', 'haha', 'shadow']"
81,1,"['thanks', 'itis', 'new', 'disguise', 'avoid', 'recognise', 'cope', 'library', 'day', 'itis', 'soo', 'stuff']"
82,1,"['didnt', 'swim', 'take', 'nice', 'pic']"
83,1,"['race', 'time']"
